Código/Nome da área;Código/Nome Subárea;Código da atividade;Nome da Atividade;
1. Cultura, Artes e Educação Patrimonial;11. Música;11002;Canto coral;
;;11006;Banda;
;;11011;Iniciação musical;
;;11012;Percussão corporal;
;;11013;Composição e produção musical digital;
;;11014;Escrita Musical;
;;11015;Instalação sonora;
;;11016;Trilha sonora para fi lmes e games;
;12. Artes visuais;12003;Desenho;
;;12004;Escultura e Cerâmica;
;;12005;Grafite;
;;12007;Pintura;
;;12008;Arte e inteligência artificial;
;;12009;Arte digital;
;;12010;Fotografia;
;;12011;Intervenção Urbana;
;;12012;Videoarte;
;;12013;Instalação artística;
;;12014;História em Quadrinhos;
;13. Cinema ;13001;Exibição;
;;13002;Produção audiovisual: filmes, vídeo-minuto, instalações, animações, remidiações;
;14. Artes cênicas;14001;Teatro;
;;14002;Danças;
;;14004;Circo-teatro e Palhaçaria;
;15. Manifestações Culturais Regionais;15001;Capoeira;
;;15002;Artesanato ;
;;15003;Folguedos, brinquedos e brincadeiras populares ;
;;15004;Contos;
;16. Educação Patrimonial;16001;Educação Patrimonial;
;;16002;Passeios e visitas a monumentos locais;
;;16003;Projetos de preservação do patrimônio;
;17. Leitura e Salas Temáticas;17004;Cantinho de Leitura;
;;17002;Línguas Estrangeiras;
;;17005;Contação de histórias;
;19. Outras;19001;Eventos de celebração à Diversidade Cultural na Escola (Feira das Nações, Feira dos Estados, etc.);
;;19002;Promoção do respeito à Diversidade Cultural;
;;19003;Visita à Equipamentos de Cultura da Localidade;
;;19004;Passeios externos;
;;19005;Festivais e mostras artísticas;
;;19006;Curadoria;
;;19007;Performance;
;;19999;Outra categoria de Cultura, Artes e Educação Patrimonial;
2. Esporte e Lazer;21. Recreação;21001;Recreação (Brinquedoteca e Jogos);
;;21002;Brincar livre;
;;21003;Jogos específi cos para a Educação Infantil;
;22. Atividades Desportivas;22007;Yoga;
;;22009;Tênis de campo;
;;22011;Atletismo;
;;22012;Badminton;
;;22014;Basquete;
;;22015;Ciclismo;
;;22018;Futebol;
;;22019;Futsal;
;;22020;Ginástica (rítmica, artística, acrobática);
;;22021;Handebol;
;;22022;Judô;
;;22023;Karatê;
;;22024;Luta Olímpica;
;;22025;Natação;
;;22026;Taekwondo;
;;22027;Tênis de Mesa;
;;22028;Voleibol;
;;22029;Vôlei de Praia;
;;22032;Xadrez tradicional/Xadrez virtual ;
;;22033;Balé;
;;22034;Skate e esportes radicais urbanos;
;;22035;Habilidades circenses;
;29. Outras;29999;Outra categoria de Esporte e Lazer;
 3. Acompanhamento Pedagógico;;31001;Matemática;
;;31016;Linguagens;
;;31017;Ciências da Natureza;
;;31018;Ciências Humanas e Sociais.;
;39. Outras;39999;Outra categoria de Acompanhamento Pedagógico;
